номер_операции,код_месторождения,наименование_месторождения,номер_скважины,дата_начала,дата_окончания,глубина_план_м,глубина_факт_м,длительность_дней,код_статьи,план_тыс_тнг,факт_тыс_тнг,отклонение_тыс_тнг,год,месяц,квартал,отклонение_пцт,наименование_статьи
ОП-2018-000054,МСТ-008,Уванас,СКВ-00054,2018-01-14,2018-01-31,590.2,641.4,17,ЗТР-06,420.5,490.16,69.66,2018,1,Q1,16.6,Подрядные работы
ОП-2018-000037,МСТ-005,Харасан,СКВ-00037,2018-01-14,2018-01-31,703.4,668.5,17,ЗТР-02,4671.65,5444.9,773.25,2018,1,Q1,16.6,Заработная плата
ОП-2018-000012,МСТ-002,Буденовское,СКВ-00012,2018-01-14,2018-01-21,389.5,388.7,7,ЗТР-06,1848.04,2146.55,298.51,2018,1,Q1,16.2,Подрядные работы
ОП-2018-000017,МСТ-002,Буденовское,СКВ-00017,2018-01-14,2018-01-22,522.6,514.1,8,ЗТР-04,1161.27,1338.29,177.02,2018,1,Q1,15.2,Транспорт и логистика
ОП-2018-000040,МСТ-006,Мынкудук,СКВ-00040,2018-01-15,2018-01-29,656.1,640.9,14,ЗТР-05,1723.74,2007.37,283.63,2018,1,Q1,16.5,Амортизация оборудования
ОП-2018-000001,МСТ-001,Инкай,СКВ-00001,2018-01-15,2018-01-31,731.4,735.2,16,ЗТР-09,223.28,261.07,37.79,2018,1,Q1,16.9,Прочие расходы
ОП-2018-000048,МСТ-006,Мынкудук,СКВ-00048,2018-01-17,2018-02-02,788.2,728.2,16,ЗТР-08,283.02,330.86,47.84,2018,1,Q1,16.9,Охрана труда и ТБ
ОП-2018-000045,МСТ-006,Мынкудук,СКВ-00045,2018-01-17,2018-01-29,671.9,619.2,12,ЗТР-07,1250.92,1449.21,198.29,2018,1,Q1,15.9,Электроэнергия
ОП-2018-000059,МСТ-009,Ирколь,СКВ-00059,2018-01-17,2018-01-25,538.2,507.2,8,ЗТР-05,1461.68,1714.16,252.48,2018,1,Q1,17.3,Амортизация оборудования
ОП-2018-000021,МСТ-003,Акдала,СКВ-00021,2018-01-19,2018-02-01,528.2,561.9,13,ЗТР-03,1669.99,1949.2,279.21,2018,1,Q1,16.7,Материалы и запчасти
ОП-2018-000014,МСТ-002,Буденовское,СКВ-00014,2018-01-19,2018-01-27,429.1,437.2,8,ЗТР-05,1044.19,1218.92,174.73,2018,1,Q1,16.7,Амортизация оборудования
ОП-2018-000076,МСТ-012,Заречное,СКВ-00076,2018-01-20,2018-01-27,387.9,408.2,7,ЗТР-03,1499.42,1761.16,261.74,2018,1,Q1,17.5,Материалы и запчасти
ОП-2018-000030,МСТ-004,Южный Инкай,СКВ-00030,2018-01-20,2018-02-05,756.7,722.0,16,ЗТР-06,1458.85,1680.59,221.74,2018,1,Q1,15.2,Подрядные работы
ОП-2018-000063,МСТ-009,Ирколь,СКВ-00063,2018-01-22,2018-02-18,781.1,826.5,27,ЗТР-07,789.32,911.82,122.5,2018,1,Q1,15.5,Электроэнергия
ОП-2018-000050,МСТ-007,Канжуган,СКВ-00050,2018-01-23,2018-02-03,561.6,525.0,11,ЗТР-01,1112.45,1280.28,167.83,2018,1,Q1,15.1,ГСМ и топливо
ОП-2018-000050,МСТ-007,Канжуган,СКВ-00050,2018-01-23,2018-02-03,561.6,525.0,11,ЗТР-05,1342.32,1547.45,205.13,2018,1,Q1,15.3,Амортизация оборудования
ОП-2018-000050,МСТ-007,Канжуган,СКВ-00050,2018-01-23,2018-02-03,561.6,525.0,11,ЗТР-07,862.43,995.87,133.44,2018,1,Q1,15.5,Электроэнергия
ОП-2018-000050,МСТ-007,Канжуган,СКВ-00050,2018-01-23,2018-02-03,561.6,525.0,11,ЗТР-06,996.75,1169.27,172.52,2018,1,Q1,17.3,Подрядные работы
ОП-2018-000013,МСТ-002,Буденовское,СКВ-00013,2018-01-24,2018-02-02,421.8,424.0,9,ЗТР-05,985.39,1147.71,162.32,2018,1,Q1,16.5,Амортизация оборудования
ОП-2018-000013,МСТ-002,Буденовское,СКВ-00013,2018-01-24,2018-02-02,421.8,424.0,9,ЗТР-04,1152.9,1338.15,185.25,2018,1,Q1,16.1,Транспорт и логистика
ОП-2018-000011,МСТ-002,Буденовское,СКВ-00011,2018-01-24,2018-01-28,228.1,242.7,4,ЗТР-02,1380.26,1613.15,232.89,2018,1,Q1,16.9,Заработная плата
ОП-2018-000004,МСТ-001,Инкай,СКВ-00004,2018-01-24,2018-02-11,604.7,667.9,18,ЗТР-08,147.51,170.1,22.59,2018,1,Q1,15.3,Охрана труда и ТБ
ОП-2018-000004,МСТ-001,Инкай,СКВ-00004,2018-01-24,2018-02-11,604.7,667.9,18,ЗТР-03,1135.3,1326.68,191.38,2018,1,Q1,16.9,Материалы и запчасти
ОП-2018-000073,МСТ-012,Заречное,СКВ-00073,2018-01-25,2018-02-14,899.4,894.7,20,ЗТР-01,1975.34,2284.32,308.98,2018,1,Q1,15.6,ГСМ и топливо
ОП-2018-000015,МСТ-002,Буденовское,СКВ-00015,2018-01-25,2018-02-04,510.5,480.2,10,ЗТР-05,1257.62,1453.95,196.33,2018,1,Q1,15.6,Амортизация оборудования
ОП-2018-000010,МСТ-001,Инкай,СКВ-00010,2018-01-26,2018-02-04,636.9,582.8,9,ЗТР-05,1575.52,1846.3,270.78,2018,1,Q1,17.2,Амортизация оборудования
ОП-2018-000069,МСТ-012,Заречное,СКВ-00069,2018-01-26,2018-02-04,478.2,514.6,9,ЗТР-01,1754.07,2044.42,290.35,2018,1,Q1,16.6,ГСМ и топливо
ОП-2018-000026,МСТ-004,Южный Инкай,СКВ-00026,2018-01-27,2018-02-11,767.4,839.4,15,ЗТР-06,3952.77,4634.01,681.24,2018,1,Q1,17.2,Подрядные работы
ОП-2018-000038,МСТ-005,Харасан,СКВ-00038,2018-01-27,2018-02-06,594.7,605.1,10,ЗТР-09,327.15,383.31,56.16,2018,1,Q1,17.2,Прочие расходы
ОП-2018-000057,МСТ-009,Ирколь,СКВ-00057,2018-01-27,2018-02-13,494.9,548.0,17,ЗТР-04,1611.22,1885.33,274.11,2018,1,Q1,17.0,Транспорт и логистика
ОП-2018-000057,МСТ-009,Ирколь,СКВ-00057,2018-01-27,2018-02-13,494.9,548.0,17,ЗТР-06,2256.57,2653.43,396.86,2018,1,Q1,17.6,Подрядные работы
ОП-2018-000049,МСТ-007,Канжуган,СКВ-00049,2018-01-27,2018-01-31,302.7,278.5,4,ЗТР-05,845.03,985.56,140.53,2018,1,Q1,16.6,Амортизация оборудования
ОП-2018-000049,МСТ-007,Канжуган,СКВ-00049,2018-01-27,2018-01-31,302.7,278.5,4,ЗТР-09,141.44,165.24,23.8,2018,1,Q1,16.8,Прочие расходы
ОП-2018-000031,МСТ-004,Южный Инкай,СКВ-00031,2018-01-28,2018-02-07,481.0,525.2,10,ЗТР-07,303.88,352.6,48.72,2018,1,Q1,16.0,Электроэнергия
ОП-2018-000016,МСТ-002,Буденовское,СКВ-00016,2018-01-28,2018-02-07,447.7,454.3,10,ЗТР-09,451.94,521.35,69.41,2018,1,Q1,15.4,Прочие расходы
ОП-2018-000082,МСТ-001,Инкай,СКВ-00082,2018-02-01,2018-02-22,671.9,643.9,21,ЗТР-08,378.18,441.43,63.25,2018,2,Q1,16.7,Охрана труда и ТБ
ОП-2018-000141,МСТ-012,Заречное,СКВ-00141,2018-02-01,2018-02-16,739.1,783.6,15,ЗТР-09,272.96,320.47,47.51,2018,2,Q1,17.4,Прочие расходы
ОП-2018-000138,МСТ-012,Заречное,СКВ-00138,2018-02-02,2018-02-14,491.9,499.5,12,ЗТР-05,1275.52,1481.74,206.22,2018,2,Q1,16.2,Амортизация оборудования
ОП-2018-000120,МСТ-007,Канжуган,СКВ-00120,2018-02-03,2018-02-11,471.5,450.0,8,ЗТР-02,2894.11,3397.37,503.26,2018,2,Q1,17.4,Заработная плата
ОП-2018-000120,МСТ-007,Канжуган,СКВ-00120,2018-02-03,2018-02-11,471.5,450.0,8,ЗТР-06,1855.44,2167.89,312.45,2018,2,Q1,16.8,Подрядные работы
ОП-2018-000119,МСТ-007,Канжуган,СКВ-00119,2018-02-04,2018-02-21,621.3,586.5,17,ЗТР-02,4588.69,5336.51,747.82,2018,2,Q1,16.3,Заработная плата
ОП-2018-000090,МСТ-002,Буденовское,СКВ-00090,2018-02-05,2018-02-09,210.7,217.7,4,ЗТР-09,59.9,69.21,9.31,2018,2,Q1,15.5,Прочие расходы
ОП-2018-000136,МСТ-011,Северный Харасан,СКВ-00136,2018-02-07,2018-02-17,463.3,457.0,10,ЗТР-02,2079.03,2409.72,330.69,2018,2,Q1,15.9,Заработная плата
ОП-2018-000129,МСТ-009,Ирколь,СКВ-00129,2018-02-10,2018-02-17,450.2,457.8,7,ЗТР-09,195.6,227.54,31.94,2018,2,Q1,16.3,Прочие расходы
ОП-2018-000086,МСТ-002,Буденовское,СКВ-00086,2018-02-12,2018-02-23,492.1,488.5,11,ЗТР-07,1338.54,1560.28,221.74,2018,2,Q1,16.6,Электроэнергия
ОП-2018-000086,МСТ-002,Буденовское,СКВ-00086,2018-02-12,2018-02-23,492.1,488.5,11,ЗТР-06,1705.45,2002.88,297.43,2018,2,Q1,17.4,Подрядные работы
ОП-2018-000099,МСТ-004,Южный Инкай,СКВ-00099,2018-02-13,2018-03-01,708.5,762.1,16,ЗТР-03,2456.13,2874.14,418.01,2018,2,Q1,17.0,Материалы и запчасти
ОП-2018-000099,МСТ-004,Южный Инкай,СКВ-00099,2018-02-13,2018-03-01,708.5,762.1,16,ЗТР-09,208.65,243.56,34.91,2018,2,Q1,16.7,Прочие расходы
ОП-2018-000089,МСТ-002,Буденовское,СКВ-00089,2018-02-14,2018-02-22,320.0,347.8,8,ЗТР-05,1116.67,1293.66,176.99,2018,2,Q1,15.8,Амортизация оборудования
ОП-2018-000102,МСТ-004,Южный Инкай,СКВ-00102,2018-02-14,2018-02-26,657.3,684.5,12,ЗТР-03,2828.23,3264.75,436.52,2018,2,Q1,15.4,Материалы и запчасти
ОП-2018-000124,МСТ-008,Уванас,СКВ-00124,2018-02-15,2018-03-06,946.7,862.2,19,ЗТР-06,3894.73,4540.0,645.27,2018,2,Q1,16.6,Подрядные работы
ОП-2018-000125,МСТ-008,Уванас,СКВ-00125,2018-02-16,2018-03-02,437.1,453.5,14,ЗТР-01,1349.62,1557.44,207.82,2018,2,Q1,15.4,ГСМ и топливо
ОП-2018-000107,МСТ-005,Харасан,СКВ-00107,2018-02-17,2018-03-03,568.5,548.9,14,ЗТР-08,238.25,275.24,36.99,2018,2,Q1,15.5,Охрана труда и ТБ
ОП-2018-000083,МСТ-001,Инкай,СКВ-00083,2018-02-17,2018-03-01,567.6,581.5,12,ЗТР-08,303.11,349.66,46.55,2018,2,Q1,15.4,Охрана труда и ТБ
ОП-2018-000083,МСТ-001,Инкай,СКВ-00083,2018-02-17,2018-03-01,567.6,581.5,12,ЗТР-06,812.95,936.76,123.81,2018,2,Q1,15.2,Подрядные работы
ОП-2018-000107,МСТ-005,Харасан,СКВ-00107,2018-02-17,2018-03-03,568.5,548.9,14,ЗТР-03,1106.42,1295.45,189.03,2018,2,Q1,17.1,Материалы и запчасти
ОП-2018-000107,МСТ-005,Харасан,СКВ-00107,2018-02-17,2018-03-03,568.5,548.9,14,ЗТР-04,550.76,642.64,91.88,2018,2,Q1,16.7,Транспорт и логистика
ОП-2018-000126,МСТ-008,Уванас,СКВ-00126,2018-02-18,2018-03-07,659.3,643.2,17,ЗТР-05,1563.69,1823.18,259.49,2018,2,Q1,16.6,Амортизация оборудования
ОП-2018-000135,МСТ-011,Северный Харасан,СКВ-00135,2018-02-18,2018-02-28,520.8,501.8,10,ЗТР-09,348.98,410.09,61.11,2018,2,Q1,17.5,Прочие расходы
ОП-2018-000126,МСТ-008,Уванас,СКВ-00126,2018-02-18,2018-03-07,659.3,643.2,17,ЗТР-03,3679.67,4236.8,557.13,2018,2,Q1,15.1,Материалы и запчасти
ОП-2018-000135,МСТ-011,Северный Харасан,СКВ-00135,2018-02-18,2018-02-28,520.8,501.8,10,ЗТР-01,1279.91,1495.26,215.35,2018,2,Q1,16.8,ГСМ и топливо
ОП-2018-000087,МСТ-002,Буденовское,СКВ-00087,2018-02-18,2018-03-05,567.5,534.8,15,ЗТР-04,545.59,638.6,93.01,2018,2,Q1,17.0,Транспорт и логистика
ОП-2018-000130,МСТ-009,Ирколь,СКВ-00130,2018-02-19,2018-02-28,517.4,520.2,9,ЗТР-07,982.51,1138.37,155.86,2018,2,Q1,15.9,Электроэнергия
ОП-2018-000085,МСТ-002,Буденовское,СКВ-00085,2018-02-19,2018-03-01,400.5,392.0,10,ЗТР-07,949.83,1097.09,147.26,2018,2,Q1,15.5,Электроэнергия
ОП-2018-000110,МСТ-005,Харасан,СКВ-00110,2018-02-19,2018-03-04,610.4,607.0,13,ЗТР-08,757.19,872.11,114.92,2018,2,Q1,15.2,Охрана труда и ТБ
ОП-2018-000118,МСТ-007,Канжуган,СКВ-00118,2018-02-19,2018-03-05,543.7,534.5,14,ЗТР-07,1046.09,1214.93,168.84,2018,2,Q1,16.1,Электроэнергия
ОП-2018-000118,МСТ-007,Канжуган,СКВ-00118,2018-02-19,2018-03-05,543.7,534.5,14,ЗТР-06,1791.02,2078.31,287.29,2018,2,Q1,16.0,Подрядные работы
ОП-2018-000113,МСТ-006,Мынкудук,СКВ-00113,2018-02-20,2018-03-01,469.5,487.9,9,ЗТР-07,457.32,533.45,76.13,2018,2,Q1,16.6,Электроэнергия
ОП-2018-000113,МСТ-006,Мынкудук,СКВ-00113,2018-02-20,2018-03-01,469.5,487.9,9,ЗТР-04,1650.68,1932.09,281.41,2018,2,Q1,17.0,Транспорт и логистика
ОП-2018-000116,МСТ-006,Мынкудук,СКВ-00116,2018-02-21,2018-03-10,584.8,643.7,17,ЗТР-05,1688.01,1946.59,258.58,2018,2,Q1,15.3,Амортизация оборудования
ОП-2018-000117,МСТ-006,Мынкудук,СКВ-00117,2018-02-22,2018-03-12,953.5,881.8,18,ЗТР-09,410.99,479.56,68.57,2018,2,Q1,16.7,Прочие расходы
ОП-2018-000117,МСТ-006,Мынкудук,СКВ-00117,2018-02-22,2018-03-12,953.5,881.8,18,ЗТР-06,2074.27,2394.39,320.12,2018,2,Q1,15.4,Подрядные работы
ОП-2018-000096,МСТ-003,Акдала,СКВ-00096,2018-02-24,2018-03-13,779.7,767.0,17,ЗТР-01,2206.75,2566.52,359.77,2018,2,Q1,16.3,ГСМ и топливо
ОП-2018-000096,МСТ-003,Акдала,СКВ-00096,2018-02-24,2018-03-13,779.7,767.0,17,ЗТР-06,1159.04,1341.44,182.4,2018,2,Q1,15.7,Подрядные работы
ОП-2018-000132,МСТ-009,Ирколь,СКВ-00132,2018-02-25,2018-03-17,888.6,857.9,20,ЗТР-05,1943.26,2246.62,303.36,2018,2,Q1,15.6,Амортизация оборудования
ОП-2018-000131,МСТ-009,Ирколь,СКВ-00131,2018-02-25,2018-03-12,513.0,467.4,15,ЗТР-09,382.59,442.74,60.15,2018,2,Q1,15.7,Прочие расходы
ОП-2018-000123,МСТ-008,Уванас,СКВ-00123,2018-02-26,2018-03-13,606.4,602.1,15,ЗТР-07,756.81,876.76,119.95,2018,2,Q1,15.8,Электроэнергия
ОП-2018-000123,МСТ-008,Уванас,СКВ-00123,2018-02-26,2018-03-13,606.4,602.1,15,ЗТР-03,2883.11,3375.86,492.75,2018,2,Q1,17.1,Материалы и запчасти
ОП-2018-000123,МСТ-008,Уванас,СКВ-00123,2018-02-26,2018-03-13,606.4,602.1,15,ЗТР-06,2093.47,2409.16,315.69,2018,2,Q1,15.1,Подрядные работы
ОП-2018-000100,МСТ-004,Южный Инкай,СКВ-00100,2018-02-27,2018-03-11,466.4,483.0,12,ЗТР-07,1107.91,1302.08,194.17,2018,2,Q1,17.5,Электроэнергия
ОП-2018-000094,МСТ-003,Акдала,СКВ-00094,2018-02-27,2018-03-07,495.9,490.1,8,ЗТР-01,3048.91,3558.04,509.13,2018,2,Q1,16.7,ГСМ и топливо
ОП-2018-000094,МСТ-003,Акдала,СКВ-00094,2018-02-27,2018-03-07,495.9,490.1,8,ЗТР-06,1124.71,1299.29,174.58,2018,2,Q1,15.5,Подрядные работы
ОП-2018-000100,МСТ-004,Южный Инкай,СКВ-00100,2018-02-27,2018-03-11,466.4,483.0,12,ЗТР-01,2825.78,3282.41,456.63,2018,2,Q1,16.2,ГСМ и топливо
ОП-2018-000112,МСТ-006,Мынкудук,СКВ-00112,2018-02-28,2018-03-17,937.5,899.7,17,ЗТР-01,3719.64,4370.3,650.66,2018,2,Q1,17.5,ГСМ и топливо
ОП-2018-000147,МСТ-001,Инкай,СКВ-00147,2018-03-01,2018-03-10,450.3,434.6,9,ЗТР-05,1197.09,1405.71,208.62,2018,3,Q1,17.4,Амортизация оборудования
ОП-2018-000179,МСТ-006,Мынкудук,СКВ-00179,2018-03-02,2018-03-14,604.7,644.6,12,ЗТР-06,589.58,691.4,101.82,2018,3,Q1,17.3,Подрядные работы
ОП-2018-000148,МСТ-001,Инкай,СКВ-00148,2018-03-03,2018-03-26,826.0,844.0,23,ЗТР-04,3139.42,3647.01,507.59,2018,3,Q1,16.2,Транспорт и логистика
ОП-2018-000159,МСТ-003,Акдала,СКВ-00159,2018-03-04,2018-03-23,914.3,887.6,19,ЗТР-01,1680.28,1947.22,266.94,2018,3,Q1,15.9,ГСМ и топливо
ОП-2018-000197,МСТ-009,Ирколь,СКВ-00197,2018-03-04,2018-03-17,651.5,698.2,13,ЗТР-01,3506.45,4046.24,539.79,2018,3,Q1,15.4,ГСМ и топливо
ОП-2018-000197,МСТ-009,Ирколь,СКВ-00197,2018-03-04,2018-03-17,651.5,698.2,13,ЗТР-08,447.9,526.65,78.75,2018,3,Q1,17.6,Охрана труда и ТБ
ОП-2018-000204,МСТ-011,Северный Харасан,СКВ-00204,2018-03-05,2018-03-13,513.1,488.3,8,ЗТР-06,1718.41,1982.58,264.17,2018,3,Q1,15.4,Подрядные работы
ОП-2018-000196,МСТ-009,Ирколь,СКВ-00196,2018-03-05,2018-03-16,749.1,687.7,11,ЗТР-09,470.24,545.92,75.68,2018,3,Q1,16.1,Прочие расходы
ОП-2018-000152,МСТ-001,Инкай,СКВ-00152,2018-03-05,2018-03-28,812.7,838.3,23,ЗТР-02,4616.1,5339.46,723.36,2018,3,Q1,15.7,Заработная плата
ОП-2018-000152,МСТ-001,Инкай,СКВ-00152,2018-03-05,2018-03-28,812.7,838.3,23,ЗТР-03,1174.68,1371.8,197.12,2018,3,Q1,16.8,Материалы и запчасти
ОП-2018-000175,МСТ-005,Харасан,СКВ-00175,2018-03-06,2018-03-16,434.7,457.4,10,ЗТР-05,678.55,791.01,112.46,2018,3,Q1,16.6,Амортизация оборудования
ОП-2018-000177,МСТ-005,Харасан,СКВ-00177,2018-03-06,2018-03-19,574.3,561.1,13,ЗТР-08,176.7,206.91,30.21,2018,3,Q1,17.1,Охрана труда и ТБ
ОП-2018-000195,МСТ-009,Ирколь,СКВ-00195,2018-03-06,2018-03-13,392.0,407.6,7,ЗТР-03,558.15,652.22,94.07,2018,3,Q1,16.9,Материалы и запчасти
ОП-2018-000195,МСТ-009,Ирколь,СКВ-00195,2018-03-06,2018-03-13,392.0,407.6,7,ЗТР-02,2226.95,2592.22,365.27,2018,3,Q1,16.4,Заработная плата
ОП-2018-000211,МСТ-012,Заречное,СКВ-00211,2018-03-07,2018-03-17,579.9,548.6,10,ЗТР-04,1676.76,1948.12,271.36,2018,3,Q1,16.2,Транспорт и логистика
ОП-2018-000211,МСТ-012,Заречное,СКВ-00211,2018-03-07,2018-03-17,579.9,548.6,10,ЗТР-07,735.4,860.68,125.28,2018,3,Q1,17.0,Электроэнергия
ОП-2018-000209,МСТ-012,Заречное,СКВ-00209,2018-03-07,2018-03-17,505.4,554.9,10,ЗТР-04,666.52,767.63,101.11,2018,3,Q1,15.2,Транспорт и логистика
ОП-2018-000209,МСТ-012,Заречное,СКВ-00209,2018-03-07,2018-03-17,505.4,554.9,10,ЗТР-03,2032.2,2385.03,352.83,2018,3,Q1,17.4,Материалы и запчасти
ОП-2018-000151,МСТ-001,Инкай,СКВ-00151,2018-03-08,2018-03-24,478.0,500.9,16,ЗТР-09,244.1,284.32,40.22,2018,3,Q1,16.5,Прочие расходы
ОП-2018-000151,МСТ-001,Инкай,СКВ-00151,2018-03-08,2018-03-24,478.0,500.9,16,ЗТР-07,886.6,1033.83,147.23,2018,3,Q1,16.6,Электроэнергия
ОП-2018-000208,МСТ-012,Заречное,СКВ-00208,2018-03-09,2018-03-20,598.3,592.5,11,ЗТР-01,2000.25,2347.91,347.66,2018,3,Q1,17.4,ГСМ и топливо
ОП-2018-000208,МСТ-012,Заречное,СКВ-00208,2018-03-09,2018-03-20,598.3,592.5,11,ЗТР-06,1909.03,2238.56,329.53,2018,3,Q1,17.3,Подрядные работы
ОП-2018-000208,МСТ-012,Заречное,СКВ-00208,2018-03-09,2018-03-20,598.3,592.5,11,ЗТР-07,675.49,780.99,105.5,2018,3,Q1,15.6,Электроэнергия
ОП-2018-000208,МСТ-012,Заречное,СКВ-00208,2018-03-09,2018-03-20,598.3,592.5,11,ЗТР-08,657.99,773.95,115.96,2018,3,Q1,17.6,Охрана труда и ТБ
ОП-2018-000205,МСТ-011,Северный Харасан,СКВ-00205,2018-03-10,2018-03-15,263.7,283.2,5,ЗТР-01,1051.39,1232.63,181.24,2018,3,Q1,17.2,ГСМ и топливо
ОП-2018-000190,МСТ-008,Уванас,СКВ-00190,2018-03-10,2018-03-18,475.1,514.6,8,ЗТР-05,824.9,968.05,143.15,2018,3,Q1,17.4,Амортизация оборудования
ОП-2018-000164,МСТ-003,Акдала,СКВ-00164,2018-03-10,2018-04-01,791.1,820.7,22,ЗТР-09,498.48,581.83,83.35,2018,3,Q1,16.7,Прочие расходы
ОП-2018-000156,МСТ-002,Буденовское,СКВ-00156,2018-03-11,2018-03-19,393.6,391.0,8,ЗТР-02,3088.93,3588.67,499.74,2018,3,Q1,16.2,Заработная плата
ОП-2018-000156,МСТ-002,Буденовское,СКВ-00156,2018-03-11,2018-03-19,393.6,391.0,8,ЗТР-03,1526.39,1782.29,255.9,2018,3,Q1,16.8,Материалы и запчасти
ОП-2018-000156,МСТ-002,Буденовское,СКВ-00156,2018-03-11,2018-03-19,393.6,391.0,8,ЗТР-08,387.75,450.64,62.89,2018,3,Q1,16.2,Охрана труда и ТБ
ОП-2018-000171,МСТ-004,Южный Инкай,СКВ-00171,2018-03-12,2018-03-22,417.6,448.1,10,ЗТР-04,464.96,545.08,80.12,2018,3,Q1,17.2,Транспорт и логистика
ОП-2018-000171,МСТ-004,Южный Инкай,СКВ-00171,2018-03-12,2018-03-22,417.6,448.1,10,ЗТР-05,1010.07,1179.92,169.85,2018,3,Q1,16.8,Амортизация оборудования
ОП-2018-000200,МСТ-009,Ирколь,СКВ-00200,2018-03-13,2018-04-01,649.2,702.4,19,ЗТР-05,1301.92,1530.96,229.04,2018,3,Q1,17.6,Амортизация оборудования
