номер_скважины,наименование_месторождения,глубина_факт_м,год,total_plan,total_fact,cost_per_meter,variance_pct,is_anomaly
СКВ-00064,Ирколь,512.1,2018,18165.07,18493.99,36.11,1.8,False
СКВ-00065,Ирколь,742.7,2018,19372.96,20381.8,27.44,5.2,False
СКВ-00066,Северный Харасан,322.3,2018,13025.380000000001,13571.93,42.11,4.2,False
СКВ-00067,Северный Харасан,353.6,2018,8364.85,8645.6,24.45,3.4,False
СКВ-00068,Северный Харасан,278.4,2018,9718.08,9833.16,35.32,1.2,False
СКВ-00069,Заречное,514.6,2018,12096.64,12999.060000000001,25.26,7.5,False
СКВ-00070,Заречное,854.8,2018,31125.54,33267.450000000004,38.92,6.9,False
СКВ-00071,Заречное,694.2,2018,17835.56,18950.53,27.3,6.3,False
СКВ-00072,Заречное,896.4,2018,29175.02,31262.22,34.88,7.2,False
СКВ-00073,Заречное,894.7,2018,25473.289999999997,26972.510000000002,30.15,5.9,False
СКВ-00074,Заречное,501.2,2018,14257.82,14929.98,29.79,4.7,False
СКВ-00075,Заречное,885.1,2018,31032.13,31453.12,35.54,1.4,False
СКВ-00076,Заречное,408.2,2018,11829.82,12394.029999999999,30.36,4.8,False
СКВ-00077,Инкай,435.9,2018,12129.07,12400.33,28.45,2.2,False
СКВ-00078,Инкай,770.9,2018,21312.33,22341.68,28.98,4.8,False
СКВ-00079,Инкай,526.0,2018,13930.74,14185.76,26.97,1.8,False
СКВ-00080,Инкай,631.4,2018,15685.14,16966.84,26.87,8.2,False
СКВ-00081,Инкай,852.3,2018,20696.51,21716.4,25.48,4.9,False
СКВ-00082,Инкай,643.9,2018,15350.09,16002.54,24.85,4.3,False
СКВ-00083,Инкай,581.5,2018,16953.78,17394.09,29.91,2.6,False
СКВ-00084,Инкай,760.5,2018,17392.91,18382.59,24.17,5.7,False
СКВ-00085,Буденовское,392.0,2018,12099.73,12999.43,33.16,7.4,False
СКВ-00086,Буденовское,488.5,2018,13513.91,14331.46,29.34,6.0,False
СКВ-00087,Буденовское,534.8,2018,14531.220000000001,15379.73,28.76,5.8,False
СКВ-00088,Буденовское,587.7,2018,14737.53,16034.009999999998,27.28,8.8,False
СКВ-00089,Буденовское,347.8,2018,13934.51,14579.77,41.92,4.6,False
СКВ-00090,Буденовское,217.7,2018,6964.76,7326.6,33.65,5.2,False
СКВ-00091,Буденовское,332.6,2018,9669.17,10223.380000000001,30.74,5.7,False
СКВ-00092,Акдала,668.5,2018,15094.92,16034.62,23.99,6.2,False
СКВ-00093,Акдала,744.3,2018,19535.62,21298.45,28.62,9.0,False
СКВ-00094,Акдала,490.1,2018,12536.38,13305.19,27.15,6.1,False
СКВ-00095,Акдала,551.0,2018,12539.63,12872.25,23.36,2.7,False
СКВ-00096,Акдала,767.0,2018,12315.25,13140.48,17.13,6.7,False
СКВ-00097,Акдала,634.0,2018,19908.81,20705.86,32.66,4.0,False
СКВ-00098,Южный Инкай,442.2,2018,10586.42,10852.93,24.54,2.5,False
СКВ-00099,Южный Инкай,762.1,2018,18705.260000000002,19901.49,26.11,6.4,False
СКВ-00100,Южный Инкай,483.0,2018,15288.42,15781.3,32.67,3.2,False
СКВ-00101,Южный Инкай,655.4,2018,17700.61,19099.97,29.14,7.9,False
СКВ-00102,Южный Инкай,684.5,2018,19433.190000000002,19688.27,28.76,1.3,False
СКВ-00103,Харасан,463.1,2018,12656.36,13316.59,28.76,5.2,False
СКВ-00104,Харасан,838.8,2018,16640.09,17793.23,21.21,6.9,False
СКВ-00105,Харасан,523.3,2018,19860.99,20713.2,39.58,4.3,False
СКВ-00106,Харасан,512.6,2018,14326.16,14914.279999999999,29.1,4.1,False
СКВ-00107,Харасан,548.9,2018,15671.06,16451.73,29.97,5.0,False
СКВ-00108,Харасан,846.6,2018,25242.38,26269.04,31.03,4.1,False
СКВ-00109,Харасан,852.6,2018,20294.170000000002,22083.39,25.9,8.8,False
СКВ-00110,Харасан,607.0,2018,15632.67,16561.14,27.28,5.9,False
СКВ-00111,Мынкудук,626.6,2018,16513.43,16947.86,27.05,2.6,False
СКВ-00112,Мынкудук,899.7,2018,22611.11,23505.77,26.13,4.0,False
СКВ-00113,Мынкудук,487.9,2018,10924.18,11681.03,23.94,6.9,False
СКВ-00114,Мынкудук,857.0,2018,20221.18,21496.39,25.08,6.3,False
СКВ-00115,Мынкудук,507.7,2018,14262.77,14822.630000000001,29.2,3.9,False
СКВ-00116,Мынкудук,643.7,2018,17244.13,18329.37,28.48,6.3,False
СКВ-00117,Мынкудук,881.8,2018,21862.29,22584.460000000003,25.61,3.3,False
СКВ-00118,Канжуган,534.5,2018,20592.579999999998,22102.18,41.35,7.3,False
СКВ-00119,Канжуган,586.5,2018,16357.32,17969.74,30.64,9.9,False
СКВ-00120,Канжуган,450.0,2018,11625.76,12745.98,28.32,9.6,False
СКВ-00121,Канжуган,592.5,2018,18428.24,19691.14,33.23,6.9,False
СКВ-00122,Уванас,845.5,2018,35868.3,36139.18,42.74,0.8,False
СКВ-00123,Уванас,602.1,2018,18154.36,19236.64,31.95,6.0,False
СКВ-00124,Уванас,862.2,2018,25509.079999999998,26586.98,30.84,4.2,False
СКВ-00125,Уванас,453.5,2018,8198.6,8490.08,18.72,3.6,False
СКВ-00126,Уванас,643.2,2018,18481.95,19486.48,30.3,5.4,False
СКВ-00127,Ирколь,401.0,2018,10474.42,10872.220000000001,27.11,3.8,False
СКВ-00128,Ирколь,521.5,2018,17269.83,18265.760000000002,35.03,5.8,False
СКВ-00129,Ирколь,457.8,2018,13122.49,13523.720000000001,29.54,3.1,False
СКВ-00130,Ирколь,520.2,2018,13649.38,14736.199999999999,28.33,8.0,False
СКВ-00131,Ирколь,467.4,2018,11275.33,12018.56,25.71,6.6,False
СКВ-00132,Ирколь,857.9,2018,22046.91,23623.47,27.54,7.2,False
СКВ-00133,Ирколь,696.8,2018,22387.78,23687.13,33.99,5.8,False
СКВ-00134,Северный Харасан,271.1,2018,8793.41,9198.89,33.93,4.6,False
СКВ-00135,Северный Харасан,501.8,2018,13750.12,14408.88,28.71,4.8,False
СКВ-00136,Северный Харасан,457.0,2018,9656.550000000001,10185.02,22.29,5.5,False
СКВ-00137,Заречное,498.5,2018,12655.7,13387.42,26.86,5.8,False
СКВ-00138,Заречное,499.5,2018,13828.44,15060.390000000001,30.15,8.9,False
СКВ-00139,Заречное,733.2,2018,16242.92,16514.7,22.52,1.7,False
СКВ-00140,Заречное,497.6,2018,16597.48,16601.260000000002,33.36,0.0,False
СКВ-00141,Заречное,783.6,2018,22738.67,23616.22,30.14,3.9,False
СКВ-00142,Заречное,495.7,2018,14194.15,14765.75,29.79,4.0,False
СКВ-00143,Заречное,779.9,2018,20096.24,21164.13,27.14,5.3,False
СКВ-00144,Инкай,568.9,2018,13399.83,14632.49,25.72,9.2,False
СКВ-00145,Инкай,570.1,2018,14389.150000000001,15851.68,27.81,10.2,False
СКВ-00146,Инкай,401.2,2018,10100.28,10925.16,27.23,8.2,False
СКВ-00147,Инкай,434.6,2018,10795.210000000001,11583.94,26.65,7.3,False
СКВ-00148,Инкай,844.0,2018,20688.97,21954.86,26.01,6.1,False
СКВ-00149,Инкай,507.5,2018,13664.96,13811.88,27.22,1.1,False
СКВ-00150,Инкай,642.4,2018,14405.630000000001,15763.03,24.54,9.4,False
СКВ-00151,Инкай,500.9,2018,13955.33,14565.93,29.08,4.4,False
СКВ-00152,Инкай,838.3,2018,24498.44,25664.77,30.62,4.8,False
СКВ-00153,Буденовское,349.7,2018,7885.48,8447.63,24.16,7.1,False
СКВ-00154,Буденовское,365.9,2018,10965.86,12141.89,33.18,10.7,False
СКВ-00155,Буденовское,257.9,2018,8487.2,8785.46,34.07,3.5,False
СКВ-00156,Буденовское,391.0,2018,11759.01,12763.3,32.64,8.5,False
СКВ-00157,Буденовское,331.0,2018,9713.380000000001,10248.61,30.96,5.5,False
СКВ-00158,Акдала,560.1,2018,12700.07,13548.240000000002,24.19,6.7,False
СКВ-00159,Акдала,887.6,2018,22382.35,24737.1,27.87,10.5,False
СКВ-00160,Акдала,860.5,2018,16920.11,18090.239999999998,21.02,6.9,False
СКВ-00161,Акдала,589.1,2018,11574.56,12239.51,20.78,5.7,False
СКВ-00162,Акдала,417.2,2018,10071.64,11100.9,26.61,10.2,False
СКВ-00163,Акдала,765.4,2018,20295.239999999998,21922.8,28.64,8.0,False
СКВ-00164,Акдала,820.7,2018,26108.24,26723.79,32.56,2.4,False
СКВ-00165,Южный Инкай,454.8,2018,10899.23,11108.67,24.43,1.9,False
СКВ-00166,Южный Инкай,705.1,2018,22417.74,23324.219999999998,33.08,4.0,False
СКВ-00167,Южный Инкай,435.4,2018,9741.51,10310.68,23.68,5.8,False
СКВ-00168,Южный Инкай,619.2,2018,12996.01,13901.15,22.45,7.0,False
СКВ-00169,Южный Инкай,449.7,2018,19705.96,19855.41,44.15,0.8,False
СКВ-00170,Южный Инкай,741.6,2018,18429.57,18657.45,25.16,1.2,False
СКВ-00171,Южный Инкай,448.1,2018,11989.27,12093.3,26.99,0.9,False
СКВ-00172,Южный Инкай,425.4,2018,8693.18,9148.300000000001,21.51,5.2,False
СКВ-00173,Харасан,795.7,2018,20221.5,20575.14,25.86,1.7,False
СКВ-00174,Харасан,437.2,2018,9454.63,9934.37,22.72,5.1,False
СКВ-00175,Харасан,457.4,2018,10383.539999999999,10722.97,23.44,3.3,False
СКВ-00176,Харасан,672.0,2018,9163.77,9620.44,14.32,5.0,False
СКВ-00177,Харасан,561.1,2018,14017.91,14202.99,25.31,1.3,False
СКВ-00178,Харасан,405.2,2018,11309.86,12088.91,29.83,6.9,False
СКВ-00179,Мынкудук,644.6,2018,15867.8,17251.77,26.76,8.7,False
СКВ-00180,Мынкудук,762.4,2018,17477.28,18710.010000000002,24.54,7.1,False
СКВ-00181,Мынкудук,822.2,2018,16661.96,17576.95,21.38,5.5,False
СКВ-00182,Мынкудук,737.3,2018,16231.68,16887.19,22.9,4.0,False
СКВ-00183,Мынкудук,518.1,2018,14080.53,15135.25,29.21,7.5,False
СКВ-00184,Мынкудук,419.4,2018,8691.88,9082.41,21.66,4.5,False
СКВ-00185,Мынкудук,831.1,2018,20739.07,22288.35,26.82,7.5,False
СКВ-00186,Мынкудук,450.1,2018,9972.76,10323.2,22.94,3.5,False
СКВ-00187,Канжуган,276.3,2018,10058.92,10381.470000000001,37.57,3.2,False
СКВ-00188,Канжуган,535.3,2018,19210.85,20765.129999999997,38.79,8.1,False
СКВ-00189,Уванас,876.0,2018,19200.32,19550.45,22.32,1.8,False
СКВ-00190,Уванас,514.6,2018,13618.85,14277.74,27.75,4.8,False
СКВ-00191,Уванас,706.1,2018,17712.43,18870.0,26.72,6.5,False
СКВ-00192,Уванас,794.9,2018,16144.67,16836.67,21.18,4.3,False
СКВ-00193,Уванас,520.5,2018,15881.7,16395.36,31.5,3.2,False
СКВ-00194,Ирколь,538.1,2018,13803.51,14519.11,26.98,5.2,False
СКВ-00195,Ирколь,407.6,2018,8798.11,9642.46,23.66,9.6,False
СКВ-00196,Ирколь,687.7,2018,14974.08,15947.81,23.19,6.5,False
СКВ-00197,Ирколь,698.2,2018,16054.1,17121.74,24.52,6.7,False
СКВ-00198,Ирколь,616.8,2018,14359.96,14765.67,23.94,2.8,False
СКВ-00199,Ирколь,791.1,2018,16834.29,17744.7,22.43,5.4,False
СКВ-00200,Ирколь,702.4,2018,16843.95,17933.96,25.53,6.5,False
СКВ-00201,Ирколь,671.5,2018,17681.45,18186.46,27.08,2.9,False
СКВ-00202,Ирколь,692.2,2018,22773.11,24309.7,35.12,6.7,False
СКВ-00203,Северный Харасан,408.6,2018,9608.99,10079.63,24.67,4.9,False
СКВ-00204,Северный Харасан,488.3,2018,13418.05,13737.369999999999,28.13,2.4,False
СКВ-00205,Северный Харасан,283.2,2018,7259.93,7897.82,27.89,8.8,False
СКВ-00206,Северный Харасан,210.9,2018,5279.35,5349.6900000000005,25.37,1.3,False
СКВ-00207,Заречное,672.6,2018,20912.05,21209.42,31.53,1.4,False
СКВ-00208,Заречное,592.5,2018,14571.06,15864.25,26.78,8.9,False
СКВ-00209,Заречное,554.9,2018,13851.68,15142.050000000001,27.29,9.3,False
СКВ-00210,Заречное,565.2,2018,12569.17,13632.21,24.12,8.5,False
СКВ-00211,Заречное,548.6,2018,10894.62,11856.49,21.61,8.8,False
СКВ-00212,Заречное,647.0,2018,10420.869999999999,11017.93,17.03,5.7,False
СКВ-00213,Заречное,597.6,2018,12808.33,13641.310000000001,22.83,6.5,False
СКВ-00214,Заречное,502.1,2018,12535.57,12875.71,25.64,2.7,False
СКВ-00215,Заречное,473.9,2018,17298.17,18471.79,38.98,6.8,False
СКВ-00216,Инкай,887.2,2018,18975.88,19999.54,22.54,5.4,False
СКВ-00217,Инкай,856.5,2018,21722.56,23291.480000000003,27.19,7.2,False
СКВ-00218,Инкай,741.3,2018,23258.13,23985.78,32.36,3.1,False
СКВ-00219,Инкай,884.1,2018,20015.45,20991.2,23.74,4.9,False
СКВ-00220,Инкай,620.1,2018,17926.7,18188.82,29.33,1.5,False
СКВ-00221,Инкай,674.4,2018,22727.29,23109.07,34.27,1.7,False
СКВ-00222,Инкай,626.9,2018,13830.34,15053.56,24.01,8.8,False
СКВ-00223,Инкай,534.8,2018,12183.39,12928.83,24.18,6.1,False
СКВ-00224,Инкай,619.6,2018,14524.53,15200.94,24.53,4.7,False
СКВ-00225,Инкай,647.0,2018,13758.61,14506.09,22.42,5.4,False
СКВ-00226,Инкай,738.5,2018,19576.36,19736.47,26.73,0.8,False
СКВ-00227,Инкай,895.6,2018,20269.71,21080.059999999998,23.54,4.0,False
СКВ-00228,Буденовское,530.2,2018,12087.51,12600.98,23.77,4.2,False
СКВ-00229,Буденовское,430.2,2018,12263.949999999999,12630.619999999999,29.36,3.0,False
СКВ-00230,Буденовское,280.0,2018,7260.31,7919.49,28.28,9.1,False
СКВ-00231,Акдала,474.7,2018,9835.619999999999,10360.39,21.83,5.3,False
СКВ-00232,Акдала,481.0,2018,18608.93,18921.72,39.34,1.7,False
СКВ-00233,Акдала,548.0,2018,11866.77,12553.470000000001,22.91,5.8,False
СКВ-00234,Акдала,577.7,2018,11199.78,11500.78,19.91,2.7,False
СКВ-00235,Акдала,878.4,2018,23037.239999999998,24357.57,27.73,5.7,False
СКВ-00236,Акдала,770.6,2018,16209.97,16440.09,21.33,1.4,False
СКВ-00237,Акдала,873.0,2018,15029.94,16263.019999999999,18.63,8.2,False
СКВ-00238,Акдала,882.1,2018,16575.62,17200.03,19.5,3.8,False
СКВ-00239,Акдала,602.5,2018,12514.300000000001,13119.42,21.77,4.8,False
СКВ-00240,Акдала,850.6,2018,21461.84,22702.62,26.69,5.8,False
СКВ-00241,Акдала,513.5,2018,10618.61,11142.95,21.7,4.9,False
СКВ-00242,Южный Инкай,639.0,2018,10604.98,11533.59,18.05,8.8,False
СКВ-00243,Южный Инкай,458.4,2018,12538.15,12708.800000000001,27.72,1.4,False
СКВ-00244,Южный Инкай,869.7,2018,20410.28,21433.62,24.64,5.0,False
СКВ-00245,Южный Инкай,720.0,2018,18830.12,20537.77,28.52,9.1,False
СКВ-00246,Южный Инкай,895.4,2018,26235.94,26780.35,29.91,2.1,False
СКВ-00247,Харасан,588.4,2018,13356.78,14479.32,24.61,8.4,False
СКВ-00248,Харасан,592.1,2018,11278.970000000001,12275.95,20.73,8.8,False
СКВ-00249,Харасан,414.0,2018,7290.7699999999995,7926.1,19.15,8.7,False
СКВ-00250,Харасан,668.3,2018,14984.17,16184.21,24.22,8.0,False
СКВ-00251,Харасан,838.0,2018,17402.81,18264.11,21.79,4.9,False
СКВ-00252,Харасан,586.5,2018,16833.02,18187.239999999998,31.01,8.0,False
СКВ-00253,Харасан,488.6,2018,9951.1,11073.55,22.66,11.3,False
СКВ-00254,Харасан,502.9,2018,11599.34,11949.17,23.76,3.0,False
СКВ-00255,Харасан,738.1,2018,14793.97,15561.710000000001,21.08,5.2,False
СКВ-00256,Харасан,569.4,2018,15017.61,15838.6,27.82,5.5,False
СКВ-00257,Мынкудук,683.9,2018,11897.76,12631.89,18.47,6.2,False
СКВ-00258,Мынкудук,853.8,2018,16112.66,17411.45,20.39,8.1,False
СКВ-00259,Мынкудук,586.2,2018,9098.62,9366.23,15.98,2.9,False
СКВ-00260,Мынкудук,418.3,2018,7235.34,7781.8,18.6,7.6,False
СКВ-00261,Мынкудук,545.5,2018,9807.2,10417.25,19.1,6.2,False
СКВ-00262,Мынкудук,654.4,2018,14818.310000000001,15052.45,23.0,1.6,False
СКВ-00263,Мынкудук,561.0,2018,15623.8,16587.329999999998,29.57,6.2,False
СКВ-00264,Мынкудук,625.2,2018,14072.59,14487.13,23.17,2.9,False
СКВ-00265,Мынкудук,538.6,2018,12047.98,12635.32,23.46,4.9,False
СКВ-00266,Мынкудук,587.7,2018,10590.84,11254.12,19.15,6.3,False
СКВ-00267,Мынкудук,791.1,2018,15178.66,15887.31,20.08,4.7,False
СКВ-00268,Мынкудук,885.0,2018,16681.670000000002,17198.55,19.43,3.1,False
СКВ-00269,Канжуган,252.7,2018,6411.93,7098.53,28.09,10.7,False
СКВ-00270,Канжуган,593.9,2018,15498.12,16691.61,28.11,7.7,False
СКВ-00271,Канжуган,528.5,2018,12215.26,12293.26,23.26,0.6,False
СКВ-00272,Канжуган,420.1,2018,13269.52,14319.42,34.09,7.9,False
СКВ-00273,Канжуган,221.3,2018,6778.57,6914.83,31.25,2.0,False
СКВ-00274,Уванас,402.9,2018,7634.81,7922.16,19.66,3.8,False
СКВ-00275,Уванас,670.2,2018,15214.349999999999,16413.36,24.49,7.9,False
СКВ-00276,Уванас,870.2,2018,16075.3,16872.57,19.39,5.0,False
СКВ-00277,Уванас,484.6,2018,9005.65,9505.85,19.62,5.6,False
СКВ-00278,Ирколь,539.6,2018,11435.85,12062.67,22.35,5.5,False
СКВ-00279,Ирколь,608.5,2018,12690.89,13653.099999999999,22.44,7.6,False
СКВ-00280,Ирколь,601.4,2018,13332.65,14065.33,23.39,5.5,False
СКВ-00281,Ирколь,639.1,2018,13489.99,14086.630000000001,22.04,4.4,False
СКВ-00282,Ирколь,559.7,2018,12547.73,12849.869999999999,22.96,2.4,False
СКВ-00283,Ирколь,478.9,2018,8039.99,8299.74,17.33,3.2,False
СКВ-00284,Ирколь,755.9,2018,11359.34,12641.96,16.72,11.3,False
СКВ-00285,Северный Харасан,449.6,2018,8822.43,9324.11,20.74,5.7,False
СКВ-00286,Северный Харасан,508.3,2018,15075.99,15389.03,30.28,2.1,False
СКВ-00287,Северный Харасан,333.4,2018,8978.29,9543.0,28.62,6.3,False
СКВ-00288,Северный Харасан,336.4,2018,11784.7,12538.02,37.27,6.4,False
СКВ-00289,Северный Харасан,557.4,2018,16016.64,16940.86,30.39,5.8,False
СКВ-00290,Заречное,485.9,2018,10580.18,10870.95,22.37,2.7,False
СКВ-00291,Заречное,648.8,2018,13491.23,14150.75,21.81,4.9,False
СКВ-00292,Заречное,766.8,2018,19565.5,20941.89,27.31,7.0,False
СКВ-00293,Заречное,446.3,2018,8434.65,9160.81,20.53,8.6,False
СКВ-00294,Заречное,852.3,2018,18284.25,18967.68,22.25,3.7,False
СКВ-00295,Заречное,434.0,2018,10040.05,10681.35,24.61,6.4,False
СКВ-00296,Заречное,467.1,2018,13111.4,13409.36,28.71,2.3,False
СКВ-00297,Заречное,686.9,2018,14687.14,15591.15,22.7,6.2,False
СКВ-00298,Заречное,655.0,2018,18313.72,18756.49,28.64,2.4,False
СКВ-00299,Инкай,691.9,2018,17631.59,18963.2,27.41,7.6,False
СКВ-00300,Инкай,692.7,2018,14639.619999999999,15047.52,21.72,2.8,False
СКВ-00301,Инкай,781.0,2018,19133.64,19519.51,24.99,2.0,False
СКВ-00302,Инкай,516.3,2018,7933.91,8328.46,16.13,5.0,False
СКВ-00303,Инкай,660.6,2018,14947.35,15949.460000000001,24.14,6.7,False
СКВ-00304,Инкай,434.7,2018,9603.71,10757.55,24.75,12.0,False
СКВ-00305,Инкай,852.6,2018,14055.380000000001,15118.23,17.73,7.6,False
СКВ-00306,Инкай,690.9,2018,27801.68,28435.46,41.16,2.3,False
СКВ-00307,Инкай,722.2,2018,15752.1,16274.77,22.53,3.3,False
СКВ-00308,Инкай,773.5,2018,11161.31,12087.27,15.63,8.3,False
СКВ-00309,Инкай,504.3,2018,11918.19,12237.29,24.27,2.7,False
СКВ-00310,Инкай,789.5,2018,20088.91,21406.809999999998,27.11,6.6,False
СКВ-00311,Инкай,803.1,2018,18265.19,20553.85,25.59,12.5,False
СКВ-00312,Буденовское,256.7,2018,6102.42,6437.29,25.08,5.5,False
СКВ-00313,Буденовское,281.6,2018,7058.75,7267.8,25.81,3.0,False
СКВ-00314,Буденовское,517.4,2018,14906.1,15695.650000000001,30.34,5.3,False
СКВ-00315,Акдала,454.4,2018,9575.640000000001,10272.25,22.61,7.3,False
СКВ-00316,Акдала,637.2,2018,12027.02,13127.48,20.6,9.1,False
СКВ-00317,Акдала,711.9,2018,13198.92,13831.9,19.43,4.8,False
СКВ-00318,Акдала,670.9,2018,11560.82,11669.23,17.39,0.9,False
СКВ-00319,Акдала,658.7,2018,13883.02,14621.71,22.2,5.3,False
СКВ-00320,Акдала,664.9,2018,15902.5,17183.92,25.84,8.1,False
СКВ-00321,Акдала,852.5,2018,15842.039999999999,17224.16,20.2,8.7,False
СКВ-00322,Акдала,626.1,2018,10829.59,11792.73,18.84,8.9,False
СКВ-00323,Акдала,419.0,2018,8310.15,8854.91,21.13,6.6,False
СКВ-00324,Южный Инкай,665.4,2018,14984.5,16337.41,24.55,9.0,False
СКВ-00325,Южный Инкай,410.3,2018,8023.02,8458.39,20.62,5.4,False
СКВ-00326,Южный Инкай,505.5,2018,17219.09,18376.57,36.35,6.7,False
СКВ-00327,Южный Инкай,805.6,2018,21995.670000000002,21976.93,27.28,-0.1,False
СКВ-00328,Южный Инкай,478.1,2018,8530.85,9008.93,18.84,5.6,False
СКВ-00329,Южный Инкай,844.8,2018,19768.78,20952.79,24.8,6.0,False
СКВ-00330,Харасан,730.9,2018,13369.17,14590.14,19.96,9.1,False
СКВ-00331,Харасан,528.4,2018,8468.16,9020.91,17.07,6.5,False
СКВ-00332,Харасан,640.0,2018,15442.52,16567.88,25.89,7.3,False
СКВ-00333,Харасан,425.1,2018,12759.82,13121.890000000001,30.87,2.8,False
