номер_операции,код_месторождения,наименование_месторождения,номер_скважины,дата_начала,дата_окончания,глубина_план_м,глубина_факт_м,длительность_дней,код_статьи,план_тыс_тнг,факт_тыс_тнг,отклонение_тыс_тнг,год,месяц,квартал
ОП-2018-000033,МСТ-005,Харасан,СКВ-00033,2018-01-02,2018-01-21,835.3,852.9,19,ЗТР-09,595.37,582.66,-12.71,2018,1,Q1
ОП-2018-000051,МСТ-007,Канжуган,СКВ-00051,2018-01-02,2018-01-10,462.8,462.6,8,ЗТР-01,2427.56,2836.86,409.3,2018,1,Q1
ОП-2018-000051,МСТ-007,Канжуган,СКВ-00051,2018-01-02,2018-01-10,462.8,462.6,8,ЗТР-02,2773.86,3048.47,274.61,2018,1,Q1
ОП-2018-000022,МСТ-003,Акдала,СКВ-00022,2018-01-02,2018-01-14,611.3,580.2,12,ЗТР-07,1114.24,1093.49,-20.75,2018,1,Q1
ОП-2018-000022,МСТ-003,Акдала,СКВ-00022,2018-01-02,2018-01-14,611.3,580.2,12,ЗТР-06,1193.63,1164.61,-29.02,2018,1,Q1
ОП-2018-000022,МСТ-003,Акдала,СКВ-00022,2018-01-02,2018-01-14,611.3,580.2,12,ЗТР-05,1743.4,1824.73,81.33,2018,1,Q1
ОП-2018-000022,МСТ-003,Акдала,СКВ-00022,2018-01-02,2018-01-14,611.3,580.2,12,ЗТР-04,1123.61,1140.9,17.29,2018,1,Q1
ОП-2018-000022,МСТ-003,Акдала,СКВ-00022,2018-01-02,2018-01-14,611.3,580.2,12,ЗТР-03,3155.9,3177.64,21.74,2018,1,Q1
ОП-2018-000022,МСТ-003,Акдала,СКВ-00022,2018-01-02,2018-01-14,611.3,580.2,12,ЗТР-02,4614.46,4569.85,-44.61,2018,1,Q1
ОП-2018-000022,МСТ-003,Акдала,СКВ-00022,2018-01-02,2018-01-14,611.3,580.2,12,ЗТР-01,1390.7,1470.55,79.85,2018,1,Q1
ОП-2018-000051,МСТ-007,Канжуган,СКВ-00051,2018-01-02,2018-01-10,462.8,462.6,8,ЗТР-03,2093.66,2280.63,186.97,2018,1,Q1
ОП-2018-000033,МСТ-005,Харасан,СКВ-00033,2018-01-02,2018-01-21,835.3,852.9,19,ЗТР-02,6304.37,6390.45,86.08,2018,1,Q1
ОП-2018-000051,МСТ-007,Канжуган,СКВ-00051,2018-01-02,2018-01-10,462.8,462.6,8,ЗТР-04,1634.33,1729.98,95.65,2018,1,Q1
ОП-2018-000033,МСТ-005,Харасан,СКВ-00033,2018-01-02,2018-01-21,835.3,852.9,19,ЗТР-03,4031.82,4544.0,512.18,2018,1,Q1
ОП-2018-000051,МСТ-007,Канжуган,СКВ-00051,2018-01-02,2018-01-10,462.8,462.6,8,ЗТР-09,191.93,183.24,-8.69,2018,1,Q1
ОП-2018-000070,МСТ-012,Заречное,СКВ-00070,2018-01-02,2018-01-17,777.9,854.8,15,ЗТР-03,4874.69,4939.17,64.48,2018,1,Q1
ОП-2018-000051,МСТ-007,Канжуган,СКВ-00051,2018-01-02,2018-01-10,462.8,462.6,8,ЗТР-08,564.7,557.93,-6.77,2018,1,Q1
ОП-2018-000033,МСТ-005,Харасан,СКВ-00033,2018-01-02,2018-01-21,835.3,852.9,19,ЗТР-01,2133.03,2065.61,-67.42,2018,1,Q1
ОП-2018-000051,МСТ-007,Канжуган,СКВ-00051,2018-01-02,2018-01-10,462.8,462.6,8,ЗТР-07,1311.13,1309.47,-1.66,2018,1,Q1
ОП-2018-000051,МСТ-007,Канжуган,СКВ-00051,2018-01-02,2018-01-10,462.8,462.6,8,ЗТР-06,1958.76,2273.67,314.91,2018,1,Q1
ОП-2018-000051,МСТ-007,Канжуган,СКВ-00051,2018-01-02,2018-01-10,462.8,462.6,8,ЗТР-05,1818.29,1966.27,147.98,2018,1,Q1
ОП-2018-000070,МСТ-012,Заречное,СКВ-00070,2018-01-02,2018-01-17,777.9,854.8,15,ЗТР-04,5802.66,6738.09,935.43,2018,1,Q1
ОП-2018-000070,МСТ-012,Заречное,СКВ-00070,2018-01-02,2018-01-17,777.9,854.8,15,ЗТР-05,3232.39,3136.24,-96.15,2018,1,Q1
ОП-2018-000070,МСТ-012,Заречное,СКВ-00070,2018-01-02,2018-01-17,777.9,854.8,15,ЗТР-06,2774.85,2781.54,6.69,2018,1,Q1
ОП-2018-000070,МСТ-012,Заречное,СКВ-00070,2018-01-02,2018-01-17,777.9,854.8,15,ЗТР-07,1028.06,1026.89,-1.17,2018,1,Q1
ОП-2018-000070,МСТ-012,Заречное,СКВ-00070,2018-01-02,2018-01-17,777.9,854.8,15,ЗТР-08,310.05,350.73,40.68,2018,1,Q1
ОП-2018-000070,МСТ-012,Заречное,СКВ-00070,2018-01-02,2018-01-17,777.9,854.8,15,ЗТР-09,122.33,129.21,6.88,2018,1,Q1
ОП-2018-000022,МСТ-003,Акдала,СКВ-00022,2018-01-02,2018-01-14,611.3,580.2,12,ЗТР-09,245.86,238.77,-7.09,2018,1,Q1
ОП-2018-000022,МСТ-003,Акдала,СКВ-00022,2018-01-02,2018-01-14,611.3,580.2,12,ЗТР-08,489.79,547.33,57.54,2018,1,Q1
ОП-2018-000070,МСТ-012,Заречное,СКВ-00070,2018-01-02,2018-01-17,777.9,854.8,15,ЗТР-02,8018.34,8465.11,446.77,2018,1,Q1
ОП-2018-000070,МСТ-012,Заречное,СКВ-00070,2018-01-02,2018-01-17,777.9,854.8,15,ЗТР-01,4962.17,5700.47,738.3,2018,1,Q1
ОП-2018-000065,МСТ-009,Ирколь,СКВ-00065,2018-01-03,2018-01-19,723.5,742.7,16,ЗТР-06,600.63,684.36,83.73,2018,1,Q1
ОП-2018-000065,МСТ-009,Ирколь,СКВ-00065,2018-01-03,2018-01-19,723.5,742.7,16,ЗТР-07,1805.67,1971.06,165.39,2018,1,Q1
ОП-2018-000065,МСТ-009,Ирколь,СКВ-00065,2018-01-03,2018-01-19,723.5,742.7,16,ЗТР-03,3842.42,4270.29,427.87,2018,1,Q1
ОП-2018-000065,МСТ-009,Ирколь,СКВ-00065,2018-01-03,2018-01-19,723.5,742.7,16,ЗТР-04,2683.34,2617.26,-66.08,2018,1,Q1
ОП-2018-000065,МСТ-009,Ирколь,СКВ-00065,2018-01-03,2018-01-19,723.5,742.7,16,ЗТР-05,1253.23,1454.38,201.15,2018,1,Q1
ОП-2018-000065,МСТ-009,Ирколь,СКВ-00065,2018-01-03,2018-01-19,723.5,742.7,16,ЗТР-01,5786.74,5761.16,-25.58,2018,1,Q1
ОП-2018-000065,МСТ-009,Ирколь,СКВ-00065,2018-01-03,2018-01-19,723.5,742.7,16,ЗТР-02,2363.01,2623.7,260.69,2018,1,Q1
ОП-2018-000065,МСТ-009,Ирколь,СКВ-00065,2018-01-03,2018-01-19,723.5,742.7,16,ЗТР-09,603.79,583.02,-20.77,2018,1,Q1
ОП-2018-000065,МСТ-009,Ирколь,СКВ-00065,2018-01-03,2018-01-19,723.5,742.7,16,ЗТР-08,434.13,416.57,-17.56,2018,1,Q1
ОП-2018-000028,МСТ-004,Южный Инкай,СКВ-00028,2018-01-04,2018-01-16,618.6,600.5,12,ЗТР-02,4274.08,4604.63,330.55,2018,1,Q1
ОП-2018-000028,МСТ-004,Южный Инкай,СКВ-00028,2018-01-04,2018-01-16,618.6,600.5,12,ЗТР-03,2723.04,3083.36,360.32,2018,1,Q1
ОП-2018-000028,МСТ-004,Южный Инкай,СКВ-00028,2018-01-04,2018-01-16,618.6,600.5,12,ЗТР-04,1069.09,1228.38,159.29,2018,1,Q1
ОП-2018-000028,МСТ-004,Южный Инкай,СКВ-00028,2018-01-04,2018-01-16,618.6,600.5,12,ЗТР-05,1269.28,1279.68,10.4,2018,1,Q1
ОП-2018-000028,МСТ-004,Южный Инкай,СКВ-00028,2018-01-04,2018-01-16,618.6,600.5,12,ЗТР-06,1648.03,1602.3,-45.73,2018,1,Q1
ОП-2018-000028,МСТ-004,Южный Инкай,СКВ-00028,2018-01-04,2018-01-16,618.6,600.5,12,ЗТР-07,1407.85,1587.19,179.34,2018,1,Q1
ОП-2018-000028,МСТ-004,Южный Инкай,СКВ-00028,2018-01-04,2018-01-16,618.6,600.5,12,ЗТР-08,287.84,309.49,21.65,2018,1,Q1
ОП-2018-000028,МСТ-004,Южный Инкай,СКВ-00028,2018-01-04,2018-01-16,618.6,600.5,12,ЗТР-01,3213.45,3125.25,-88.2,2018,1,Q1
ОП-2018-000028,МСТ-004,Южный Инкай,СКВ-00028,2018-01-04,2018-01-16,618.6,600.5,12,ЗТР-09,240.77,237.47,-3.3,2018,1,Q1
ОП-2018-000046,МСТ-006,Мынкудук,СКВ-00046,2018-01-05,2018-01-19,699.2,771.0,14,ЗТР-05,2399.47,2485.69,86.22,2018,1,Q1
ОП-2018-000046,МСТ-006,Мынкудук,СКВ-00046,2018-01-05,2018-01-19,699.2,771.0,14,ЗТР-01,2087.3,2442.52,355.22,2018,1,Q1
ОП-2018-000067,МСТ-011,Северный Харасан,СКВ-00067,2018-01-05,2018-01-13,379.8,353.6,8,ЗТР-09,321.43,362.45,41.02,2018,1,Q1
ОП-2018-000067,МСТ-011,Северный Харасан,СКВ-00067,2018-01-05,2018-01-13,379.8,353.6,8,ЗТР-08,210.66,224.66,14.0,2018,1,Q1
ОП-2018-000067,МСТ-011,Северный Харасан,СКВ-00067,2018-01-05,2018-01-13,379.8,353.6,8,ЗТР-07,332.76,345.26,12.5,2018,1,Q1
ОП-2018-000067,МСТ-011,Северный Харасан,СКВ-00067,2018-01-05,2018-01-13,379.8,353.6,8,ЗТР-06,1389.88,1509.47,119.59,2018,1,Q1
ОП-2018-000067,МСТ-011,Северный Харасан,СКВ-00067,2018-01-05,2018-01-13,379.8,353.6,8,ЗТР-05,1394.51,1331.51,-63.0,2018,1,Q1
ОП-2018-000067,МСТ-011,Северный Харасан,СКВ-00067,2018-01-05,2018-01-13,379.8,353.6,8,ЗТР-04,542.52,565.24,22.72,2018,1,Q1
ОП-2018-000067,МСТ-011,Северный Харасан,СКВ-00067,2018-01-05,2018-01-13,379.8,353.6,8,ЗТР-03,521.29,595.85,74.56,2018,1,Q1
ОП-2018-000067,МСТ-011,Северный Харасан,СКВ-00067,2018-01-05,2018-01-13,379.8,353.6,8,ЗТР-02,2504.21,2438.45,-65.76,2018,1,Q1
ОП-2018-000046,МСТ-006,Мынкудук,СКВ-00046,2018-01-05,2018-01-19,699.2,771.0,14,ЗТР-02,3906.93,3991.35,84.42,2018,1,Q1
ОП-2018-000067,МСТ-011,Северный Харасан,СКВ-00067,2018-01-05,2018-01-13,379.8,353.6,8,ЗТР-01,1147.59,1272.71,125.12,2018,1,Q1
ОП-2018-000044,МСТ-006,Мынкудук,СКВ-00044,2018-01-05,2018-01-18,722.4,701.5,13,ЗТР-08,415.22,436.88,21.66,2018,1,Q1
ОП-2018-000044,МСТ-006,Мынкудук,СКВ-00044,2018-01-05,2018-01-18,722.4,701.5,13,ЗТР-09,257.35,287.0,29.65,2018,1,Q1
ОП-2018-000044,МСТ-006,Мынкудук,СКВ-00044,2018-01-05,2018-01-18,722.4,701.5,13,ЗТР-06,1715.4,1823.24,107.84,2018,1,Q1
ОП-2018-000044,МСТ-006,Мынкудук,СКВ-00044,2018-01-05,2018-01-18,722.4,701.5,13,ЗТР-05,1304.49,1275.73,-28.76,2018,1,Q1
ОП-2018-000044,МСТ-006,Мынкудук,СКВ-00044,2018-01-05,2018-01-18,722.4,701.5,13,ЗТР-04,2641.82,2717.34,75.52,2018,1,Q1
ОП-2018-000044,МСТ-006,Мынкудук,СКВ-00044,2018-01-05,2018-01-18,722.4,701.5,13,ЗТР-03,4059.53,4558.71,499.18,2018,1,Q1
ОП-2018-000046,МСТ-006,Мынкудук,СКВ-00046,2018-01-05,2018-01-19,699.2,771.0,14,ЗТР-03,5193.04,5108.08,-84.96,2018,1,Q1
ОП-2018-000046,МСТ-006,Мынкудук,СКВ-00046,2018-01-05,2018-01-19,699.2,771.0,14,ЗТР-04,1643.12,1912.65,269.53,2018,1,Q1
ОП-2018-000044,МСТ-006,Мынкудук,СКВ-00044,2018-01-05,2018-01-18,722.4,701.5,13,ЗТР-01,2994.23,3446.49,452.26,2018,1,Q1
ОП-2018-000046,МСТ-006,Мынкудук,СКВ-00046,2018-01-05,2018-01-19,699.2,771.0,14,ЗТР-06,1066.98,1108.23,41.25,2018,1,Q1
ОП-2018-000046,МСТ-006,Мынкудук,СКВ-00046,2018-01-05,2018-01-19,699.2,771.0,14,ЗТР-07,986.58,1117.92,131.34,2018,1,Q1
ОП-2018-000046,МСТ-006,Мынкудук,СКВ-00046,2018-01-05,2018-01-19,699.2,771.0,14,ЗТР-08,758.38,789.28,30.9,2018,1,Q1
ОП-2018-000046,МСТ-006,Мынкудук,СКВ-00046,2018-01-05,2018-01-19,699.2,771.0,14,ЗТР-09,620.26,600.49,-19.77,2018,1,Q1
ОП-2018-000044,МСТ-006,Мынкудук,СКВ-00044,2018-01-05,2018-01-18,722.4,701.5,13,ЗТР-07,1159.38,1230.17,70.79,2018,1,Q1
ОП-2018-000044,МСТ-006,Мынкудук,СКВ-00044,2018-01-05,2018-01-18,722.4,701.5,13,ЗТР-02,2728.45,2837.63,109.18,2018,1,Q1
ОП-2018-000029,МСТ-004,Южный Инкай,СКВ-00029,2018-01-07,2018-01-20,665.3,664.7,13,ЗТР-06,2262.98,2237.83,-25.15,2018,1,Q1
ОП-2018-000029,МСТ-004,Южный Инкай,СКВ-00029,2018-01-07,2018-01-20,665.3,664.7,13,ЗТР-03,1307.03,1499.34,192.31,2018,1,Q1
ОП-2018-000029,МСТ-004,Южный Инкай,СКВ-00029,2018-01-07,2018-01-20,665.3,664.7,13,ЗТР-05,4346.45,4543.2,196.75,2018,1,Q1
ОП-2018-000029,МСТ-004,Южный Инкай,СКВ-00029,2018-01-07,2018-01-20,665.3,664.7,13,ЗТР-04,2469.46,2594.16,124.7,2018,1,Q1
ОП-2018-000029,МСТ-004,Южный Инкай,СКВ-00029,2018-01-07,2018-01-20,665.3,664.7,13,ЗТР-08,403.3,419.17,15.87,2018,1,Q1
ОП-2018-000029,МСТ-004,Южный Инкай,СКВ-00029,2018-01-07,2018-01-20,665.3,664.7,13,ЗТР-09,223.43,234.43,11.0,2018,1,Q1
ОП-2018-000029,МСТ-004,Южный Инкай,СКВ-00029,2018-01-07,2018-01-20,665.3,664.7,13,ЗТР-02,3702.93,3768.14,65.21,2018,1,Q1
ОП-2018-000029,МСТ-004,Южный Инкай,СКВ-00029,2018-01-07,2018-01-20,665.3,664.7,13,ЗТР-07,835.47,857.95,22.48,2018,1,Q1
ОП-2018-000029,МСТ-004,Южный Инкай,СКВ-00029,2018-01-07,2018-01-20,665.3,664.7,13,ЗТР-01,3614.8,3609.32,-5.48,2018,1,Q1
ОП-2018-000006,МСТ-001,Инкай,СКВ-00006,2018-01-07,2018-01-22,655.6,628.1,15,ЗТР-06,630.51,661.14,30.63,2018,1,Q1
ОП-2018-000006,МСТ-001,Инкай,СКВ-00006,2018-01-07,2018-01-22,655.6,628.1,15,ЗТР-02,3845.77,3971.03,125.26,2018,1,Q1
ОП-2018-000006,МСТ-001,Инкай,СКВ-00006,2018-01-07,2018-01-22,655.6,628.1,15,ЗТР-03,4172.34,4144.66,-27.68,2018,1,Q1
ОП-2018-000006,МСТ-001,Инкай,СКВ-00006,2018-01-07,2018-01-22,655.6,628.1,15,ЗТР-04,2245.23,2153.04,-92.19,2018,1,Q1
ОП-2018-000006,МСТ-001,Инкай,СКВ-00006,2018-01-07,2018-01-22,655.6,628.1,15,ЗТР-05,2203.92,2229.67,25.75,2018,1,Q1
ОП-2018-000006,МСТ-001,Инкай,СКВ-00006,2018-01-07,2018-01-22,655.6,628.1,15,ЗТР-07,910.06,911.62,1.56,2018,1,Q1
ОП-2018-000006,МСТ-001,Инкай,СКВ-00006,2018-01-07,2018-01-22,655.6,628.1,15,ЗТР-08,838.75,822.41,-16.34,2018,1,Q1
ОП-2018-000006,МСТ-001,Инкай,СКВ-00006,2018-01-07,2018-01-22,655.6,628.1,15,ЗТР-09,463.8,449.08,-14.72,2018,1,Q1
ОП-2018-000006,МСТ-001,Инкай,СКВ-00006,2018-01-07,2018-01-22,655.6,628.1,15,ЗТР-01,2517.94,2622.1,104.16,2018,1,Q1
ОП-2018-000052,МСТ-007,Канжуган,СКВ-00052,2018-01-08,2018-01-23,530.2,553.4,15,ЗТР-07,1542.87,1738.24,195.37,2018,1,Q1
ОП-2018-000036,МСТ-005,Харасан,СКВ-00036,2018-01-08,2018-01-19,401.4,423.0,11,ЗТР-01,3002.39,3080.25,77.86,2018,1,Q1
ОП-2018-000036,МСТ-005,Харасан,СКВ-00036,2018-01-08,2018-01-19,401.4,423.0,11,ЗТР-02,1979.73,2304.14,324.41,2018,1,Q1
ОП-2018-000036,МСТ-005,Харасан,СКВ-00036,2018-01-08,2018-01-19,401.4,423.0,11,ЗТР-03,3039.3,2933.67,-105.63,2018,1,Q1
ОП-2018-000036,МСТ-005,Харасан,СКВ-00036,2018-01-08,2018-01-19,401.4,423.0,11,ЗТР-04,1317.76,1311.3,-6.46,2018,1,Q1
ОП-2018-000036,МСТ-005,Харасан,СКВ-00036,2018-01-08,2018-01-19,401.4,423.0,11,ЗТР-05,896.07,946.58,50.51,2018,1,Q1
ОП-2018-000052,МСТ-007,Канжуган,СКВ-00052,2018-01-08,2018-01-23,530.2,553.4,15,ЗТР-03,3022.11,3257.64,235.53,2018,1,Q1
ОП-2018-000052,МСТ-007,Канжуган,СКВ-00052,2018-01-08,2018-01-23,530.2,553.4,15,ЗТР-05,2070.62,2247.6,176.98,2018,1,Q1
ОП-2018-000052,МСТ-007,Канжуган,СКВ-00052,2018-01-08,2018-01-23,530.2,553.4,15,ЗТР-04,1165.6,1216.89,51.29,2018,1,Q1
ОП-2018-000052,МСТ-007,Канжуган,СКВ-00052,2018-01-08,2018-01-23,530.2,553.4,15,ЗТР-02,14054.49,13639.54,-414.95,2018,1,Q1
ОП-2018-000052,МСТ-007,Канжуган,СКВ-00052,2018-01-08,2018-01-23,530.2,553.4,15,ЗТР-01,2518.08,2457.45,-60.63,2018,1,Q1
ОП-2018-000036,МСТ-005,Харасан,СКВ-00036,2018-01-08,2018-01-19,401.4,423.0,11,ЗТР-07,834.65,922.03,87.38,2018,1,Q1
ОП-2018-000036,МСТ-005,Харасан,СКВ-00036,2018-01-08,2018-01-19,401.4,423.0,11,ЗТР-06,1392.66,1546.54,153.88,2018,1,Q1
ОП-2018-000052,МСТ-007,Канжуган,СКВ-00052,2018-01-08,2018-01-23,530.2,553.4,15,ЗТР-06,2466.1,2743.82,277.72,2018,1,Q1
ОП-2018-000023,МСТ-003,Акдала,СКВ-00023,2018-01-08,2018-01-25,730.1,810.5,17,ЗТР-01,2318.3,2510.4,192.1,2018,1,Q1
ОП-2018-000047,МСТ-006,Мынкудук,СКВ-00047,2018-01-08,2018-01-21,589.7,549.4,13,ЗТР-01,4185.09,4219.08,33.99,2018,1,Q1
ОП-2018-000023,МСТ-003,Акдала,СКВ-00023,2018-01-08,2018-01-25,730.1,810.5,17,ЗТР-03,4347.26,4535.78,188.52,2018,1,Q1
ОП-2018-000052,МСТ-007,Канжуган,СКВ-00052,2018-01-08,2018-01-23,530.2,553.4,15,ЗТР-08,467.86,469.83,1.97,2018,1,Q1
ОП-2018-000047,МСТ-006,Мынкудук,СКВ-00047,2018-01-08,2018-01-21,589.7,549.4,13,ЗТР-03,2950.13,3248.75,298.62,2018,1,Q1
ОП-2018-000047,МСТ-006,Мынкудук,СКВ-00047,2018-01-08,2018-01-21,589.7,549.4,13,ЗТР-04,8735.85,8711.57,-24.28,2018,1,Q1
ОП-2018-000047,МСТ-006,Мынкудук,СКВ-00047,2018-01-08,2018-01-21,589.7,549.4,13,ЗТР-05,2045.15,2011.92,-33.23,2018,1,Q1
ОП-2018-000047,МСТ-006,Мынкудук,СКВ-00047,2018-01-08,2018-01-21,589.7,549.4,13,ЗТР-06,1098.07,1073.68,-24.39,2018,1,Q1
ОП-2018-000047,МСТ-006,Мынкудук,СКВ-00047,2018-01-08,2018-01-21,589.7,549.4,13,ЗТР-07,1481.34,1502.2,20.86,2018,1,Q1
ОП-2018-000047,МСТ-006,Мынкудук,СКВ-00047,2018-01-08,2018-01-21,589.7,549.4,13,ЗТР-08,609.32,698.39,89.07,2018,1,Q1
ОП-2018-000047,МСТ-006,Мынкудук,СКВ-00047,2018-01-08,2018-01-21,589.7,549.4,13,ЗТР-09,270.81,274.52,3.71,2018,1,Q1
